firefox_issue_id,firefox_issue_text,firefox_create_time,distance,brave_issue_id,brave_issue_text,brave_create_time,1,2,3,acc@1,acc@2,acc@3,MRR,,,,,
689358865,[Bug] Enabling accessibility feature (example talkback) causes app to crash on loading tabs tray,2020/8/31,0.9227,747480189,[Android] App crashes when Tab Groups or Conditional Tab Strip are enabled,2020/11/20,0.00 ,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,0.50 ,0.00 ,0.50 ,0.50 ,
572952316,For #7059 - Allow search engines to scroll,2020/2/28,0.9222,590426145,[P3A] Ask about switching search engines,2020/3/30,0.00 ,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,0.50 ,0.00 ,0.50 ,0.50 ,
692905979,[Bug] Swiping on URL-bar doesn't switch between tabs.,2020/9/4,0.9214,723734853,[bugs] previous searches showing when clicking url bar,2020/10/17,0.00 ,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,0.50 ,0.00 ,0.50 ,0.50 ,
588103422,[Bug] Error adding a working search engine,2020/3/26,0.921,664966089,Updated pre-populated search engine list,2020/7/24,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
700169918,show menu in tab switcher when no tabs are open,2020/9/12,0.9209,771419757,[Android] Hamburger menu disappears in tab switcher in landscape when bottom toolbar is enabled,2020/12/19,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.33 ,0.33 ,0.00 ,
593433918,[Bug] Fix intermittent UI test verifyReaderViewAppearanceColorSchemeChange,2020/4/3,0.9209,732394820,RewardsContributionBrowserTest.PanelMonthlyTipAmount fails on CI on Mac,2020/10/29,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
687118431,Gecko resizes when opening the toolbar,2020/8/27,0.9206,738554569,Offer a way to disable extensions toolbar menu,2020/11/8,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,1.00 ,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,
584329653,Closes #9100 (bug): 'clearing private tabs from notification closes t_,2020/3/19,0.9205,675076761,[Android] Open tabs notification shows up even after being dismissed,2020/8/7,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,1.00 ,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,
609024242,"FNX2-15856 _ [Bug] Tapping on the URL bar from a loaded page doesn't display the ""Clear/x"" button",2020/4/29,0.9201,623288357,[Android] show full url with scrollbar in context menu,2020/5/22,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
592099188,KotlinNullPointerException possibly when deleting/redownloading a download,2020/4/1,0.9195,710690738,GeminiAPIBrowserTest.GetOAuthClientURL crashes when ASAN is enabled,2020/9/29,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
729621826,For #15379: Use proper url when sharing.,2020/10/26,0.9194,737205131,Sync url should be configured through gn,2020/11/5,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
655176522,"Intermittent verifyContextCopyLink androidx.test.espresso.base.DefaultFailureHandler$AssertionFailedWithCauseError: 'with text: a string containing ""localhost:51576/pages/generic3.html""' doesn't match the selected view.",2020/7/11,0.9192,710690738,GeminiAPIBrowserTest.GetOAuthClientURL crashes when ASAN is enabled,2020/9/29,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
547166740,[Bug] Intermittent test failure in BookmarkNodeTest,2020/1/8,0.9189,775629616,Intermittent test failure with IpfsServiceBrowserTest.CanLoadIFrameFromIPFS,2020/12/28,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
701113972,"[Crash] With Camera permission Off, app crashes when trying to scan Pairing QR code @ android.content.ActivityNotFoundException: at android.app.Instrumentation.checkStartActivityResult(Instrumentation.java) ",2020/9/14,0.9186,710690738,GeminiAPIBrowserTest.GetOAuthClientURL crashes when ASAN is enabled,2020/9/29,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,1.00 ,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,
566306024,GeckoProvider: Remove useContentProcessHint() and add useMultiprocess()..,2020/2/17,0.9185,712119114,BatAdsAdConversionsDatabaseTableTest.GetAdConversionsFromCatalogEndpoint crashes with ASAN enabled,2020/9/30,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
624994021,persist desktop site request for homescreen shortcuts,2020/5/26,0.9182,757644720,No link to manage extensions' keyboard shortcuts,2020/12/5,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,1.00 ,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,
675709844,FNX-14610 _ [Bug] Tabs: don't reload an existing tab when switching from another tab (or less often than currently),2020/8/9,0.9176,722366123,MRU tab feature not switching to the correct tab,2020/10/15,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,1.00 ,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,
655203928,FNX2-15273 _ Optionally show top sites on url bar selection,2020/7/11,0.9173,723734853,[bugs] previous searches showing when clicking url bar,2020/10/17,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,1.00 ,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,
624482353,FNX2-16242 _ [Intermittent] UI test failure navigateBookmarksFoldersTest,2020/5/25,0.9173,775629616,Intermittent test failure with IpfsServiceBrowserTest.CanLoadIFrameFromIPFS,2020/12/28,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
561920267,"[Bug] Performance issue: Main thread is blocked in onTitleChange, impacting Gecko page load performance",2020/2/7,0.9172,724805514,"WebTorrent not loading due to ""Unchecked runtime.lastError: Could not establish connection"" error",2020/10/19,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,1.00 ,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,
568923442,[Bug] Crash on pressing back button after focusing on search bar suggestion list,2020/2/21,0.9171,571664736,Visual changes for search accelerator button,2020/2/26,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
554435876,Long pause until page finishes loading when clicking a Google search result (GeckoLoginDelegateWrapper.onLoginFetch?),2020/1/23,0.9169,565693440,Tor profile related browser tests crash at ProfileDestroyer::DestroyOffTheRecordProfileNow(Profile*) when DCHECK is enabled,2020/2/15,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
641943112,For #11642: disables crashing UI test privateModeScreenItemsTest,2020/6/19,0.9167,710690738,GeminiAPIBrowserTest.GetOAuthClientURL crashes when ASAN is enabled,2020/9/29,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
640373303,"[New Feature] Report clickbait sites ,Protect user privacy",2020/6/17,0.9166,643283701,Warn users about insecure Facebook and Google privacy settings,2020/6/22,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,1.00 ,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,
583366454,Unable to complete Yahoo OAuth2 signin using Firefox Preview,2020/3/17,0.9163,622857308,Fix 9882: Setup oauth client and secret for extension login,2020/5/21,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
714370477,For #15675: Disable Save button when editing saved login until something has been changed,2020/10/4,0.9162,723577477, Google login buttons option crashes Brave on windows 10,2020/10/16,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.33 ,0.33 ,0.00 ,
550342298,[Private Browsing] Add private browsing shortcut shouldn't disappear after adding shortcut,2020/1/15,0.9162,558462064,"""Safe Browsing"" option in settings needs to be named ""Google Safe Browsing""",2020/2/1,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,problem still exist
559605478,[Bug] Pressing back button from url bar also performs a navigate back,2020/2/4,0.9159,623288357,[Android] show full url with scrollbar in context menu,2020/5/22,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"I hope there's a ""show tabs bar"" in the button of address bar (same with the ios). It makes easier to navigate/ change tabs: 2020-07-10"
569254623,Intermittent UI test failure - ContextMenusTest.verifyContextOpenLinkNewTab,2020/2/22,0.9159,710690738,GeminiAPIBrowserTest.GetOAuthClientURL crashes when ASAN is enabled,2020/9/29,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
559471546,[Bug] The cursor jumps around while trying to select the text,2020/2/4,0.9158,628015448,Mouse cursor bugging out when hovering on certain elements of a website,2020/5/31,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
565207800,"[Bug]Missing ""Add to Home screen"" button from the _ Main menu (3dot menu) overlay",2020/2/14,0.9157,619594106,[Android] reverse menu items when toolbar is on the bottom,2020/5/17,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
646375087,"Support various actions (add to top sites, bookmarks,...) on open tabs",2020/6/26,0.9153,716915844,Can't modify top sites settings on new tab page,2020/10/7,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.33 ,0.33 ,0.00 ,
614306538,[UX] Manually create a new login,2020/5/7,0.915,622137447,Unsuccessful login to Binance Widget after creating a new account,2020/5/20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
646477080,FNX2-16766 _ Set Search shortcuts off by default,2020/6/26,0.9149,757644720,No link to manage extensions' keyboard shortcuts,2020/12/5,0.00 ,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,0.50 ,0.00 ,0.50 ,0.50 ,
688488310,[Bug] Add search engine does not allow port number in url,2020/8/29,0.9147,723734853,[bugs] previous searches showing when clicking url bar,2020/10/17,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,1.00 ,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,
576303179,[Bug] Forward/Star/Share/Reload don't show right away in menu when keyboard open,2020/3/5,0.9146,619594106,[Android] reverse menu items when toolbar is on the bottom,2020/5/17,0.00 ,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,0.50 ,0.00 ,0.50 ,0.50 ,
651127071,add a user option to switch between static and auto hiding urlbar,2020/7/5,0.9143,726224390,[Widget] Auto hide keyboard when preview conversion is selected,2020/10/21,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
685897195,No issue: Remove milestone from pull request template,2020/8/25,0.9142,711956391,Update pull request template to include release note info,2020/9/30,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
652723368,Intermittent UI test failure - ContextMenusTest.verifyContextOpenImageNewTab,2020/7/7,0.9142,710690738,GeminiAPIBrowserTest.GetOAuthClientURL crashes when ASAN is enabled,2020/9/29,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
683592819,[Bug] Download dialog improvements,2020/10/29,0.9139,748069986,bug fix from play store logs,2020/11/21,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,1.00 ,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,
639992486,Allow prefetching of topsite with observeForever and allow to update homefragment in onCreateView,2020/6/16,0.9135,732394820,RewardsContributionBrowserTest.PanelMonthlyTipAmount fails on CI on Mac,2020/10/29,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
558733290,[Bug] Play Store page for Firefox Preview Nightly has missing links,2020/2/2,0.9134,748069986,bug fix from play store logs,2020/11/21,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,1.00 ,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,
610618104,FNX2-15896 _ [Bug] Intermittent test failure org.mozilla.fenix.perf.StartupHomeActivityLifecycleObserverTest,2020/5/1,0.9126,710690738,GeminiAPIBrowserTest.GetOAuthClientURL crashes when ASAN is enabled,2020/9/29,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
553858223,For #5892 & #6380: Updates error page template and allows SSL bypassing,2020/1/22,0.9126,720958623,Remove overarching error page (Crypto Wallets),2020/10/13,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
705668850,Not allowed to start service Intent { cmp=org.mozilla.fenix/.session.PrivateNotificationService },2020/9/21,0.9125,710690738,GeminiAPIBrowserTest.GetOAuthClientURL crashes when ASAN is enabled,2020/9/29,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
624456275,FNX2-16241 _ [Intermittent] UI test failure editBookmarkTest,2020/5/25,0.9122,775629616,Intermittent test failure with IpfsServiceBrowserTest.CanLoadIFrameFromIPFS,2020/12/28,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
672184919,FNX2-18863 _ [L10n] Remove deprecated strings,2020/8/3,0.9121,752015529,[Widgets] Buttons not properly aligned for localized strings,2020/11/27,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
649886510,[Bug][Synced tabs] Connected mobile devices aren't displayed if no tabs are opened,2020/7/2,0.9119,683676650,[Android][Follow up #11210] Sync not working message showing up on private tabs,2020/8/21,0.00 ,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,0.50 ,0.00 ,0.50 ,0.50 ,
667190837,[Bug] long press on startpage 'view image anonymously' crashes browser,2020/7/28,0.9118,741080355,[Feature request] button to reload web page after javascript blocking / unblocking,2020/11/11,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,1.00 ,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,
700751548,Support for shortcuts while using a physical keyboard,2020/9/14,0.9111,757644720,No link to manage extensions' keyboard shortcuts,2020/12/5,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
545997507,[Bug] App Actions in private custom tabs can look funky,2020/1/6,0.9106,570164110,[Android] Crash on Custom Tabs,2020/2/24,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
665204652,Intermittent UI test failure - testStrictVisitContentShield and testStrictVisitContentNotification,2020/7/24,0.9104,775629616,Intermittent test failure with IpfsServiceBrowserTest.CanLoadIFrameFromIPFS,2020/12/28,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
568571781,For #8454: Removes back button from search screen,2020/2/20,0.9103,590257279,[Android] Replace forward button icon,2020/3/30,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
651063752,Automatically open sent tabs,2020/7/5,0.9103,742943841,"Rename Sync ""Open Tabs"" to ""Recent tabs""",2020/11/14,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
554429174,[Bug] Login prompts are closed on page load,2020/1/23,0.9103,741080355,[Feature request] button to reload web page after javascript blocking / unblocking,2020/11/11,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,1.00 ,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,
592270776,"Use same configuration for ""forPerformanceTest"" builds like we do for_",2020/4/1,0.9101,616911791,BinanceAPIBrowserTest.RevokeToken fails on Windows,2020/5/12,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
665810570,Allow Customised Fenix settings to be exported to a backup file format,2020/7/26,0.9101,745641717,Use different icon for file formats that open in Brave,2020/11/18,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,1.00 ,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,
562013591,[Bug] Firefox Preview does not remember device name,2020/2/8,0.9101,664025715,[Android] Sometimes device list contains an empty device name,2020/7/22,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,1.00 ,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,
572783944,FenixSearchEngineProvider: Use dummy location service in debug builds.,2020/2/28,0.9101,712119114,BatAdsAdConversionsDatabaseTableTest.GetAdConversionsFromCatalogEndpoint crashes with ASAN enabled,2020/9/30,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
,,,,,,,21.00 ,11.00 ,6.00 ,21.00 ,32.00 ,38.00 ,,,,28.50 ,26.50 ,0.259259259
,,,,,,value,0.259259259,0.135802469,0.074074074,0.259259259,0.395061728,0.469135802,,,,0.35 ,0.33 ,
,,,,,,,@1,@2,@3,acc@1,acc@2,acc@3,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.351851852,,
